time,n_replica,cpu_req_core,mem_req_KB,cpu_lim_core,mem_lim_KB,cpu_use_core,mem_use_KB
945.72,5,2.000,2816000,5,9175040,1.383873514,2904476
951.02,5,2.000,2816000,5,9175040,1.448819049,2984828
956.22,5,2.000,2816000,5,9175040,1.448819049,2984828
961.38,5,2.000,2816000,5,9175040,1.448819049,2984828
966.56,5,2.000,2816000,5,9175040,1.335551407,3076432
971.82,5,2.000,2816000,5,9175040,1.335551407,3076432
976.98,5,2.000,2816000,5,9175040,1.335551407,3076432
982.18,5,2.000,2816000,5,9175040,1.356976201,3078372
987.36,5,2.000,2816000,5,9175040,1.356976201,3078372
992.56,5,2.000,2816000,5,9175040,1.356976201,3078372
997.75,5,2.000,2816000,5,9175040,1.502108051,3151336
1002.94,5,2.000,2816000,5,9175040,1.502108051,3151336
1008.24,5,2.000,2816000,5,9175040,1.502108051,3151336
1013.4,5,2.000,2816000,5,9175040,1.513185170,3138620
1018.57,5,2.000,2816000,5,9175040,1.513185170,3138620
1023.78,5,2.000,2816000,5,9175040,1.513185170,3138620
1029.01,5,2.000,2816000,5,9175040,1.378870081,3300856
1034.24,5,2.000,2816000,5,9175040,1.378870081,3300856
1039.42,5,2.000,2816000,5,9175040,1.378870081,3300856
1044.6,5,2.000,2816000,5,9175040,1.497091185,3339508
1049.81,5,2.000,2816000,5,9175040,1.497091185,3339508
1055.01,5,2.000,2816000,5,9175040,1.497091185,3339508
1060.21,5,2.000,2816000,5,9175040,1.335409741,3317664
1065.39,5,2.000,2816000,5,9175040,1.335409741,3317664
1070.62,5,2.000,2816000,5,9175040,1.335409741,3317664
1075.82,5,2.000,2816000,5,9175040,1.467365390,3341584
1081.0,5,2.000,2816000,5,9175040,1.467365390,3341584
1086.24,5,2.000,2816000,5,9175040,1.424002346,3377140
1091.42,5,2.000,2816000,5,9175040,1.424002346,3377140
1096.58,5,2.000,2816000,5,9175040,1.424002346,3377140
1101.78,5,2.000,2816000,5,9175040,1.456543463,3473976
1106.99,5,2.000,2816000,5,9175040,1.456543463,3473976
1112.18,5,2.000,2816000,5,9175040,1.456543463,3473976
1117.37,5,2.000,2816000,5,9175040,1.284603532,3413116
1122.55,5,2.000,2816000,5,9175040,1.284603532,3413116
1127.79,5,2.000,2816000,5,9175040,1.284603532,3413116
1132.96,5,2.000,2816000,5,9175040,1.306522966,3463100
1138.13,5,2.000,2816000,5,9175040,1.306522966,3463100
1143.33,5,2.000,2816000,5,9175040,1.306522966,3463100
1148.55,5,2.000,2816000,5,9175040,1.531237518,3490944
1153.77,5,2.000,2816000,5,9175040,1.531237518,3490944
1158.99,5,2.000,2816000,5,9175040,1.531237518,3490944
1164.26,5,2.000,2816000,5,9175040,1.497168863,3548212
1169.45,5,2.000,2816000,5,9175040,1.497168863,3548212
1174.67,5,2.000,2816000,5,9175040,1.497168863,3548212
1179.87,5,2.000,2816000,5,9175040,1.430012465,3556712
1185.09,5,2.000,2816000,5,9175040,1.430012465,3556712
1190.29,5,2.000,2816000,5,9175040,1.430012465,3556712
1195.47,5,2.000,2816000,5,9175040,1.381222000,3514976
1200.65,5,2.000,2816000,5,9175040,1.381222000,3514976
1205.85,5,2.000,2816000,5,9175040,1.565282470,3533292
1211.13,5,2.000,2816000,5,9175040,1.565282470,3533292
1216.32,5,2.000,2816000,5,9175040,1.565282470,3533292
1221.53,5,2.000,2816000,5,9175040,4.477320807,3832564
1226.77,5,2.000,2816000,5,9175040,4.477320807,3832564
1232.03,5,2.000,2816000,5,9175040,4.477320807,3832564
1237.2,10,4.000,5632000,10,18350080,4.543308443,3882476
1242.46,10,4.000,5632000,10,18350080,4.543308443,3882476
1247.67,10,4.000,5632000,10,18350080,4.543308443,3882476
